gammae	AeAt_r	Pe	Isp
1.2268	24.0	66308	2894.4
1.2269	24.1	65946	2895.3
1.2269	24.2	65589	2896.1
1.2270	24.3	65234	2897.0
1.2271	24.4	64883	2897.8
1.2272	24.5	64534	2898.7
1.2273	24.6   	64190 	2899.5
1.2274	24.7	63848 	2900.4
1.2274	24.8	63510 	2901.2
1.2275	24.9 	63175	2902.0
1.2276	25   	62844 	2902.9
1.2277	25.1   	62514 	2903.7
1.2278	25.2   	62118 	2904.5
1.2278	25.3   	61865 	2905.3
1.2279	25.4   	61545 	2906.1
1.2280	25.5   	61228 	2906.9
1.2281	25.6   	60914 	2907.7
1.2282	25.7   	60602 	2908.5
1.2282	25.8   	60294 	2909.3
1.2283	25.9   	59988 	2910.1
1.2284	26.0   	59686 	2910.9
1.2285	26.1   	59385 	2911.7  
1.2285	26.2   	59088 	2912.4  
1.2286	26.3   	58792 	2913.2  
1.2287	26.4   	58500 	2914.0  
1.2288	26.5   	58210 	2914.7  
1.2289	26.6   	57922 	2915.5  
1.2289	26.7   	57638 	2916.3  
1.2290	26.8	57355 	2917.0  
1.2291	26.9	57076 	2917.8  
1.2292	27.0	56798 	2918.5  
1.2292	27.1	56523 	2919.2  
1.2293	27.2	56250 	2920.0  
1.2294	27.3	55980 	2920.7  
1.2295	27.4	55711 	2921.4  
1.2295	27.5	55446 	2922.2  
