cf1 Me1 sonn Pe rhoo Isp1 cstar1 Pc	
1.7870 3.7836 7.4064 4.6133 1.0342 2.9926 1650.9 130
1.7868 3.7845 7.4100 4.7930 1.0733 2.9929 1651.4 135
1.7866 3.7854 7.4134 4.9728 1.1123 2.9932 1651.8 140
1.7864 3.7862 7.4167 5.1526 1.1514 2.9935 1652.3 145
1.7862 3.7870 7.4199 5.3326 1.1904 2.9938 1652.7 150
1.7860 3.7878 7.4230 5.5126 1.2294 2.9940 1653.2 155
1.7859 3.7885 7.4259 5.6926 1.2684 2.9943 1653.6 160
1.7857 3.7892 7.4288 5.8727 1.3074 2.9945 1654.0 165
1.7855 3.7899 7.4315 6.0529 1.3463 2.9947 1654.4 170
1.7854 3.7906 7.4342 6.2331 1.3853 2.9950 1654.7 175
1.7853 3.7912 7.4368 6.4134 1.4242 2.9952 1655.1 180
1.7851 3.7918 7.4393 6.5938 1.4631 2.9954 1655.4 185
1.7850 3.7924 7.4418 6.7741 1.5020 2.9956 1655.8 190
