cf1      Me1   sonn    Pe1    rhoo   Isp3 Pc  cstar1
1.7860 3.7878 7.4230 5.5126 1.2294 2.9940 155 1653.2
1.7860 3.7879 7.4236 5.5486 1.2372 2.9941 156 1653.3
1.7860 3.7881 7.4242 5.5846 1.2450 2.9941 157 1653.3
1.7859 3.7882 7.4248 5.6206 1.2528 2.9942 158 1653.4
1.7859 3.7884 7.4253 5.6566 1.2606 2.9942 159 1653.5
1.7859 3.7885 7.4259 5.6926 1.2684 2.9943 160 1653.6
1.7858 3.7887 7.4265 5.7286 1.2762 2.9943 161 1653.7
1.7858 3.7888 7.4271 5.7646 1.2840 2.9944 162 1653.7
1.7858 3.7890 7.4277 5.8007 1.2918 2.9944 163 1653.8
1.7857 3.7891 7.4282 5.8367 1.2996 2.9945 164 1653.9
1.7857 3.7892 7.4288 5.8727 1.3074 2.9945 165 1654.0
1.7857 3.7894 7.4293 5.9088 1.3152 2.9946 166 1654.1
1.7856 3.7895 7.4299 5.9448 1.3230 2.9946 167 1654.1
1.7856 3.7897 7.4305 5.9808 1.3308 2.9946 168 1654.2
1.7856 3.7898 7.4310 6.0169 1.3386 2.9947 169 1654.3
1.7855 3.7899 7.4315 6.0529 1.3463 2.9947 170 1654.4
1.7855 3.7901 7.4321 6.0889 1.3541 2.9948 171 1654.4
1.7855 3.7902 7.4326 6.1250 1.3619 2.9948 172 1654.5
1.7855 3.7903 7.4332 6.1610 1.3697 2.9949 173 1654.6
1.7854 3.7905 7.4337 6.1971 1.3775 2.9949 174 1654.7
1.7854 3.7906 7.4342 6.2331 1.3853 2.9950 175 1654.7
1.7854 3.7907 7.4347 6.2692 1.3931 2.9950 176 1654.8
1.7853 3.7908 7.4353 6.3052 1.4009 2.9950 177 1654.9
1.7853 3.7910 7.4358 6.3413 1.4086 2.9951 178 1655.0
1.7853 3.7911 7.4363 6.3774 1.4164 2.9951 179 1655.0
1.7853 3.7912 7.4368 6.4134 1.4242 2.9952 180 1655.1
1.7852 3.7914 7.4373 6.4495 1.4320 2.9952 181 1655.2
1.7852 3.7915 7.4378 6.4855 1.4398 2.9952 182 1655.2
1.7852 3.7916 7.4383 6.5216 1.4476 2.9953 183 1655.3
1.7851 3.7917 7.4388 6.5577 1.4553 2.9953 184 1655.4
1.7851 3.7918 7.4393 6.5938 1.4631 2.9954 185 1655.4
