AeAt IS_HR IS_HR_v
20 29259 31160
26.2 29899 31653
30 30201 31886
20 29268 31167
26.2 29908 31660
30 30209 31893
20 29276 31174
26.2 29916 31666
30 30216 31898
20 29284 31180
26.2 29923 31671
30 30223 31904
20 29291 31185
26.2 29929 31676
30 30229 31908
20 29297 31190
26.2 29935 31681
30 30235 31913
20 29303 31194
26.2 29940 31685
30 30240 31917
20 29306 31197
26.2 29943 31687
30 30242 31919
20 29309 31199
26.2 29945 31689
30 30245 31920
20 29314 31203
26.2 29950 31692
30 30249 31924
20 29318 31206
26.2 29954 31696
30 30253 31927
20 29323 31210
26.2 29958 31699
30 30257 31930
