AeAt 	IS_NR	IS_NR_v
20  	28796   30397
26.2 	29341   30812
30  	29597   31007
20     28801   30401
26.2 	29346 	30815
30    	29601 	31010
20    	28805 	30405
26.2  	29350 	30818
30    	29605 	31013
20    	28809 	30408
26.2  	29354 	30821
30    	29609   31016
20    	28813 	30410
26.2  	29357 	30824
30    	29612 	31018
20    	28816 	30413
26.2  	29360 	30826
30    	29615 	31020
20    	28819 	30415
26.2  	29363 	30828
30    	29617 	31022
20    	28821 	30416
26.2  	29364 	30829
30    	29619 	31023
20   	28822 	30417
26.2   29366   30830
30     29620 	31024
20    	28825 	30419
26.2  	29368 	30832
30    	29622 	31026
20    	28827 	30421
26.2   29370   30833
30   	29624 	31028
20    	28829 	30423
26.2  	29372 	30835
30    	29626 	31029
