AeAt IS_NU IS_NU_v
20 30221 32111
26.2 30866 32600
30 31167 32830
20 30236 32122
26.2 30880 32610
30 31181 32840
20 30250 32133
26.2 30892 32620
30 31193 32849
20 30262 32142
26.2 30903 32628
30 31204 32857
20 30274 32151
26.2 30914 32636
30 31214 32865
20 30284 32158
26.2 30923 32643
30 31223 32872
20 30294 32166
26.2 30932 32650
30 31231 32878
20 30298 32169
26.2 30936 32653
30 31235 32881
20 30302 32172
26.2 30940 32656
30 31239 32884
20 30311 32179
26.2 30948 32662
30 31246 32889
20 30318 32185
26.2 30955 32667
30 31253 32895
20 30326 32190
26.2 30961 32672
30 31259 32899
