m gam aeat p isp o/f
2.0727*10 1.1888  0.0000  1.6500*100 0.0000  5.0000 
2.0727*10 1.1923  1.0000  9.3374*10 1.1145  5.0000 
2.0727*10 1.2329  1.0000*10 2.0010  2.6925  5.0000 
2.0727*10 1.2376  1.2500*10 1.4790  2.7521  5.0000 
2.0727*10 1.2416  1.5000*10 1.1566  2.7974  5.0000 
2.0727*10 1.2451  1.7500*10 9.4010*0.1 2.8334  5.0000 
2.0727*10 1.2482  2.0000*10 7.8587*0.1 2.8632  5.0000 
2.0727*10 1.2509  2.2500*10 6.7111*0.1 2.8883  5.0000 
2.0727*10 1.2534  2.5000*10 5.8282*0.1 2.9100  5.0000 
2.0727*10 1.2545  2.6200*10 5.4738*0.1 2.9194  5.0000 
2.0727*10 1.2556  2.7500*10 5.1305*0.1 2.9290  5.0000 
2.0727*10 1.2577  3.0000*10 4.5671*0.1 2.9459  5.0000 
2.0727*10 1.2596  3.2500*10 4.1037*0.1 2.9610  5.0000 
2.0727*10 1.2614  3.5000*10 3.7169*0.1 2.9746  5.0000 
2.0727*10 1.2630  3.7500*10 3.3897*0.1 2.9870  5.0000 
2.0849*10 1.1876  0.0000  1.6500*100 0.0000  5.1000 
2.0849*10 1.1909  1.0000  9.3417*10 1.1151  5.1000 
2.0849*10 1.2307  1.0000*10 2.0107  2.6982  5.1000 
2.0849*10 1.2353  1.2500*10 1.4869  2.7582  5.1000 
2.0849*10 1.2393  1.5000*10 1.1633  2.8037  5.1000 
2.0849*10 1.2427  1.7500*10 9.4581*0.1 2.8400  5.1000 
2.0849*10 1.2457  2.0000*10 7.9088*0.1 2.8699  5.1000 
2.0849*10 1.2484  2.2500*10 6.7557*0.1 2.8953  5.1000 
2.0849*10 1.2508  2.5000*10 5.8684*0.1 2.9171  5.1000 
2.0849*10 1.2519  2.6200*10 5.5122*0.1 2.9266  5.1000 
2.0849*10 1.2531  2.7500*10 5.1670*0.1 2.9362  5.1000 
2.0849*10 1.2551  3.0000*10 4.6005*0.1 2.9532  5.1000 
2.0849*10 1.2570  3.2500*10 4.1346*0.1 2.9684  5.1000 
2.0849*10 1.2587  3.5000*10 3.7455*0.1 2.9821  5.1000 
2.0849*10 1.2604  3.7500*10 3.4163*0.1 2.9946  5.1000 
2.0967*10 1.1864  0.0000  1.6500*100 0.0000  5.2000 
2.0967*10 1.1897  1.0000  9.3458*10 1.1156  5.2000 
2.0967*10 1.2286  1.0000*10 2.0200  2.7036  5.2000 
2.0967*10 1.2332  1.2500*10 1.4944  2.7639  5.2000 
